Stelle   0-7: Wohnhaus
Stelle     9: 4
Stelle 11-39: Tannenbaumgasse 5, 1010 Stadt
Stelle 41-44: 50.0
Stelle    46: A
Stelle 48-54: 10000.0
Stelle   0-7: Wohnhaus
Stelle     9: 5
Stelle 11-36: Druckergasse 6, 1010 Stadt
Stelle 38-41: 50.0
Stelle    43: B
Stelle 45-51: 10000.0
Stelle   0-7: Wohnhaus
Stelle     9: 6
Stelle 11-37: Wohnhausgasse 7, 1010 Stadt
Stelle 39-42: 50.0
Stelle    44: C
Stelle 46-52: 10000.0
Stelle   0-7: Wohnhaus
Stelle     9: 7
Stelle 11-35: Gassengasse 8, 1010 Stadt
Stelle 37-40: 50.0
Stelle    42: D
Stelle 44-50: 10000.0
